station_id,station_name,district,address,lat,lng,tot_quantity,sbi_quantity,bemp,act,data_time,yb2_quantity,eyb_quantity
500233007,YouBike2.0_蘆洲中原公園,蘆洲區,光華路186巷31-45號(公園側人行道),25.08332,121.46389,45,0,45,1,2026-04-28 14:29:19,0,0
500233008,YouBike2.0_鴨母港抽水站,蘆洲區,永安南路二段342號(對面),25.08294,121.45673,30,1,28,1,2026-04-28 13:57:02,1,0
500233009,YouBike2.0_永康公園,蘆洲區,長安街220巷3號(對面公園人行道),25.08492,121.45821,39,1,38,1,2026-04-28 14:26:03,1,0
500233010,YouBike2.0_三民高中(民權路),蘆洲區,民權路90號(對面),25.08802,121.47393,45,1,43,1,2026-04-28 14:24:20,1,0
500233011,YouBike2.0_捷運三民高中站(1號出口),蘆洲區,三民路105號(旁),25.08582,121.47272,12,0,0,0,2025-07-17 13:33:03,0,0
500233012,YouBike2.0_永平公園,蘆洲區,永平街1號(旁),25.08999,121.45942,26,1,25,1,2026-04-28 14:29:19,1,0
500233013,YouBike2.0_林建生紀念圖書館,蘆洲區,三民路178號(前),25.08843,121.46988,37,2,35,1,2026-04-28 14:18:02,1,1
500233014,YouBike2.0_捷運蘆洲站,蘆洲區,三民路503號(對面),25.09164,121.46403,92,46,35,1,2026-04-28 14:28:03,27,19
500233015,YouBike2.0_柳堤公園,蘆洲區,長樂路/光明路口(東北側),25.08799,121.46219,41,2,39,1,2026-04-28 14:21:03,2,0
500233016,YouBike2.0_彩虹兒童公園,蘆洲區,光榮路120巷8弄23-41號(對面),25.08871,121.46460,22,8,14,1,2026-04-28 14:23:02,8,0
500233017,YouBike2.0_蘆洲三民公園,蘆洲區,三民路615號(對面),25.09431,121.46013,33,5,28,1,2026-04-28 14:14:04,5,0
500233018,YouBike2.0_仁愛廣場,蘆洲區,民權路141號(旁),25.09057,121.47162,44,1,43,1,2026-04-28 14:27:02,1,0
500233019,YouBike2.0_蘆洲延平派出所,蘆洲區,長安街102巷5弄6號(對面),25.08162,121.46162,38,1,37,1,2026-04-28 14:29:04,1,0
500233020,YouBike2.0_蘆洲國民運動中心,蘆洲區,長興路397號(對面),25.09195,121.46161,55,3,52,1,2026-04-28 14:29:04,2,1
500233021,YouBike2.0_三民中山一路口,蘆洲區,三民路8號前,25.08223,121.476,29,2,27,1,2026-04-28 14:24:04,1,1
500233022,YouBike2.0_永安兒童公園,蘆洲區,永安北路2段/永安北路2段35巷,25.08227,121.48224,40,15,24,1,2026-04-28 14:28:03,10,5
500233023,YouBike2.0_鷺江廣場,蘆洲區,信義路319巷22號(旁邊機車格前),25.08562,121.47769,32,5,26,1,2026-04-28 14:07:04,5,0
500233024,YouBike2.0_仁愛街70巷口,蘆洲區,仁愛街95號(對面),25.09398,121.47126,32,2,30,1,2026-04-28 14:20:04,1,1
500233025,YouBike2.0_水河里活動中心,蘆洲區,民族路408巷22-3號(前),25.09345,121.47448,31,0,31,1,2026-04-28 14:14:19,0,0
500233026,YouBike2.0_蘆洲重陽大樓,蘆洲區,集賢路245號(後方),25.08506,121.48189,28,1,27,1,2026-04-28 14:26:03,1,0
500233027,YouBike2.0_重陽公園,蘆洲區,集賢路221巷重陽活動中心,25.0857,121.484,41,1,40,1,2026-04-28 14:16:03,1,0
500233028,YouBike2.0_中山二永安南路口,蘆洲區,中山二路290號(前),25.07744,121.46868,14,6,7,1,2026-04-28 13:08:03,5,1
500233029,YouBike2.0_捷運三民高中站(2號出口),蘆洲區,復興路58號(旁),25.08577,121.47374,55,13,11,1,2026-04-28 14:26:03,13,0
500233030,YouBike2.0_鷺江國中(長興路298巷),蘆洲區,長興路298巷2-20號(對面),25.09005,121.46106,15,4,10,1,2026-04-28 14:28:03,3,1
500233031,YouBike2.0_三民長榮路口,蘆洲區,長榮路792號(對面),25.09328,121.4616,15,3,12,1,2026-04-28 14:23:02,2,1
500233032,YouBike2.0_捷運蘆洲站(1號出口),蘆洲區,三民路362-1號(前),25.09113,121.4651,48,31,14,1,2026-04-28 14:27:02,17,14
500233033,YouBike2.0_中山一和平路口,蘆洲區,中山一路293號(前),25.07919,121.47162,18,2,16,1,2026-04-28 14:01:03,2,0
500233034,YouBike2.0_永安南路二段16巷口,蘆洲區,永安南路二段18號(旁),25.07702,121.46765,10,1,9,1,2026-04-28 13:38:39,1,0
