city,record_id,inspection_date,inspection_item,food_category,product_name,vendor_name,district,address,lng,lat,result,violation_detail,sampled_place
臺北市,7076,2023-11-03,蔬果,小葉菜類,菠菜,三軍總醫院營養部,內湖區,臺北市內湖區成功路2段325號B1,,,不符合規定,殺蟲劑Indoxacarb因得克0.11 ppm（標準：0.01ppm以下）,三軍總醫院營養部/臺北市內湖區成功路2段325號B1
臺北市,7080,2023-11-03,蔬果,小葉菜類,蔥,老李港式扒飯(優米自助餐),內湖區,臺北市內湖區成功路2段325號B1,,,不符合規定,殺菌劑Fluopyram 氟派瑞0.04ppm(標準：不得檢出),老李港式扒飯(優米自助餐)/臺北市內湖區成功路2段325號B1
臺北市,7081,2023-11-02,蔬果,小葉菜類,格藍芽,謝O寶,萬華區,臺北市萬華區萬大路533號中繼蔬菜零批場地號2004,,,不符合規定,殺菌劑Fluopyram氟派瑞0.02 ppm（標準：不得檢出）,謝O寶/臺北市萬華區萬大路533號中繼蔬菜零批場地號2004
臺北市,7082,2023-11-02,蔬果,大漿果類,木瓜,世界城水果店,北投區,臺北市北投區石牌路1段166巷117號1樓,,,不符合規定,殺蟲劑Methomyl納乃得0.01 ppm（標準：不得檢出）,世界城水果店/臺北市北投區石牌路1段166巷117號1樓
臺北市,7083,2023-11-02,蔬果,根莖菜類,白蘿蔔-長條型本產,好膳企業股份有限公司(PRESERVE．FOR OUR FUTURE),士林區,臺北市士林區天母東路43巷3號,,,不符合規定,殺蟲劑Dinotefuran達特南0.06 ppm（標準：0.05 ppm以下） 殺蟲劑Emamectin benzoate因滅汀0.011 ppm（標準：不得檢出） 殺蟲劑Profenophos佈飛松0.48 ppm（標準：0.05 ppm以下） 殺蟲劑Terbufos托福松0.51 ppm（標準：不得檢出）,好膳企業股份有限公司(PRESERVE．FOR OUR FUTURE)/臺北市士林區天母東路43巷3號
臺北市,7084,2023-11-02,蔬果,小葉菜類,大陸妹,好鍋有限公司,士林區,臺北市士林區天母西路43號1樓,,,不符合規定,殺菌劑Boscalid白克列5.6 ppm（標準：4.0 ppm以下） 殺蟲劑Emamectin benzoate因滅汀0.06 ppm（標準：0.05 ppm以下） 殺菌劑Pyraclostrobin百克敏2.2ppm（標準：2.0 ppm以下）,好鍋有限公司/臺北市士林區天母西路43號1樓
臺北市,7085,2023-11-02,蔬果,果菜類,紅辣椒,呂O越,萬華區,臺北市萬華區萬大路533號中繼蔬菜零批場地號2002,,,不符合規定,殺菌劑 Difenoconazole待克利1.2 ppm（標準：0.5 ppm以下） 殺蟎劑Fenazaquin芬殺蟎0.4 ppm（標準：0.1ppm以下 ）,呂O越/臺北市萬華區萬大路533號中繼蔬菜零批場地號2002
臺北市,7100,2023-11-02,蔬果,小葉菜類,芥藍,白毫素食天地,士林區,臺北市士林區天母西路13巷10號1樓,,,不符合規定,殺草劑Pendimethalin施得圃0.2 ppm（標準：0.1ppm以下）,白毫素食天地/臺北市士林區天母西路13巷10號1樓
臺北市,7101,2023-11-01,蔬果,香辛植物及其他草木本植物,香菜(芫荽),董O興蔬菜攤,大同區,臺北市大同區錦西街38巷18號,,,不符合規定,殺菌劑Hexaconazole菲克利0.03 ppm（標準：0.01 ppm以下）,董O興蔬菜攤/臺北市大同區錦西街38巷18號
臺北市,7102,2023-11-01,蔬果,小葉菜類,青蔥,全聯實業股份有限公司朱崙分公司,中山區,臺北市中山區龍江路15號1-2樓,,,不符合規定,殺蟲劑芬普尼代謝物（ Fipronil-sulfone） 0.002ppm（標準：0.001 ppm以下）,全聯實業股份有限公司朱崙分公司/臺北市中山區龍江路15號1-2樓
臺北市,7128,2023-10-31,蔬果,根莖菜類,台灣水洗白蘿蔔,統康生活事業股份有限公司農安二分公司(家樂福超市),中山區,臺北市中山區農安街26號、 26-1號,,,不符合規定,殺蟲劑Dinotefuran 達特南0.21 ppm（標準：0.05 ppm以下）,統康生活事業股份有限公司農安二分公司(家樂福超市)/臺北市中山區農安街26號、 26-1號
臺北市,7161,2023-10-20,市售食品反式脂肪酸含量,沙拉,白沙拉,叁拾捌號朝食所,大安區,臺北市大安區和平東路2段311巷38號,,,不符合規定,營養標示反式脂肪含量為「0.11公克/每100公克」，惟檢出每100公克反式脂肪酸含量0.44公克，依據「包裝食品營養標示應遵行事項」，反式脂肪含量標示值誤差允許範圍為「小於或等於標示值之120%」（經換算為0.132公克/每100公克），案內產品應依實際數值標示。,叁拾捌號朝食所/臺北市大安區和平東路2段311巷38號
臺北市,7174,2023-10-18,市售食品反式脂肪酸含量,奶精,厚奶精(非乳為主),弘如小吃店（弘爺漢堡如意店）,松山區,臺北市松山區南京東路5段123巷41號,,,不符合規定,產品包裝標示宣稱「本產品不含反式脂肪酸」，惟檢驗結果檢出每100毫升之飽和脂肪酸含量11.82公克及反式脂肪酸含量0.05公克，每100毫升之液體所含飽和脂肪及反式脂肪合計超過0.75公克，依據「包裝食品營養宣稱應遵行事項」該產品不得宣稱不含反式脂肪。,弘如小吃店（弘爺漢堡如意店）/臺北市松山區南京東路5段123巷41號
臺北市,7181,2023-10-16,市售食品反式脂肪酸含量,沙拉,美奶滋沙拉,意欽早餐店（早安美芝城圓山捷運概念店）,大同區,臺北市大同區酒泉街22號,,,不符合規定,營養標示反式脂肪含量為「0.5公克/每100公克」，惟檢出每100公克反式脂肪酸含量0.71公克，依據「包裝食品營養標示應遵行事項」，反式脂肪含量標示值誤差允許範圍為「小於或等於標示值之120%」（經換算為0.6公克/每100公克），案內產品應依實際數值標示。,意欽早餐店（早安美芝城圓山捷運概念店）/臺北市大同區酒泉街22號
臺北市,7192,2023-10-12,生鮮水產品,蟹類,冷凍三點蟹,六福開發股份有限公司南港分公司,南港區,臺北市南港區忠孝東路7段359號7樓,,,不符合規定,鎘：1.3 mg/kg(標準：0.5 mg/kg),六福開發股份有限公司南港分公司/臺北市南港區忠孝東路7段359號7樓
臺北市,7216,2023-10-06,火鍋料,豆腐,手工板豆腐,八海國際餐飲股份有限公司(八海食潮當代鍋物),中正區,臺北市中正區北平西路3號2樓,,,不符合規定,苯甲酸：0.75g/kg(標準：不得檢出),八海國際餐飲股份有限公司(八海食潮當代鍋物)/臺北市中正區北平西路3號2樓
